name	affiliation	session
Dowon AHN	Pusan National University, Republic of Korea	S3
Hyungju AHN	PAL, Republic of Korea	S2
Zesheng AN	Jilin University, China	S14
Spiros ANASTASIADIS	University of Crete, Greece	S2
Thomas ANTHOPOULOS	The University of Manchester, USA	S5
Jin Hye BAE	Chung-Ang University, Republic of Korea	S4
Han-Yong BAE	Sungkyunkwan University, Republic of Korea	IDS5
Luke BALDWIN	Air Force Research Laboratory, USA	S11
Joona BANG	Korea University, Republic of Korea	S2
Andrea BELLUATI	Technical University of Darmstadt	S13
Suk Ho BHANG	Sungkyunkwan University, Republic of Korea	S8
Markus BIESALSKI	Technical University of Darmstadt, Germany	S13
Giovanni BIRARDA	Elettra - Sincrotrone Trieste, Italy	S2
AJ BOYDSTON	University Wisconsin-Madison, USA	S11
Hye Ryung BYON	Korea Advanced Institute of Science and Technology (KAIST), Republic of Korea	S6
Chaenyung CHA	UNIST, Republic of Korea	S8
Hyojung CHA	Kyungpook National University, Republic of Korea	S5
Yi-Tsu CHAN	NTU, Taiwan	S1
Chia-Chih CHANG	National Yang Ming Chiao Tung University, Taiwan	S8
Kookheon CHAR	Seoul National University, Republic of Korea	S13
Guang CHEN	Peking University, China	S10
Jiun Tai CHEN	National Yang Ming Chiao Tung University, Taiwan	S4
Xiang CHEN	Tsinghua University, China	S6
Byoung-Ki CHO	Dankook University, Republic of Korea	IDS2
Ik Sung CHO	Kyushu University, Japan	S8
Kilwon CHO	Pohang University of Science and Technology (POSTECH), Republic of Korea	S13
Soo-Hyung CHOI	Hongik University, Republic of Korea	S2
Yu-Jin CHOI	Korea Research Institute of Chemical Technology (KRICT), Republic of Korea	S1
Myung-Suk CHUN	KIST & UST-KIST School, Republic of Korea	S10
Dae Sung CHUNG	POSTECH, Republic of Korea	IDS5
Russ COMPOSTO	University of Pennsylvania, USA	S2
Van-Duong DAO	Phenikaa University, Vietnam	S7
Xu DENG	University of Electronic Science and Technology of China, China	S4
Xue-Hui DONG	South China University of Technology, China	S14
Todd EMRICK	University of Massachusetts, USA	S11
Vida ENGMANN	University of Southern Denmark, Denmark	S12
Youngho EOM	Hanyang University, Republic of Korea	S4
Brett FORS	Cornell University, USA	S1
Syuji FUJII	Osaka Institute of Technology, Japan	S4
Nicholas GODMAN	Air Force Research Laboratory, USA	S3
Joshua M. GROLMAN	Materials Science and Engineering The Technion Israel Institute of Technology, Israel	S9
Andre GROESCHEL	University of Bayreuth, Germany	S13
Min Young HA	Kyung Hee University, Republic of Korea	S10
Minjeong HA	Gwangju Institute of Science and Technology (GIST), Republic of Korea	S5
Sei Kwang HAHN	POSTECH, Republic of Korea	S13
Lisa M. HALL	The Ohio State University, USA	S10
Mahiar Max HAMEDI	KTH Royal Institute of Technology, Sweden	S6
Tae Hee HAN	Hanyang University, Republic of Korea	S11
Laura HARTMANN	University of Freiburg, Germany	S13
Michael A. HICKNER	Michigan State University, USA	S6
Masayoshi HIGUCHI	NIMS, Japan	S5
Guilhem X De HOE	University of Florida, USA	S9
Joung Sook HONG	Jeju National University, Republic of Korea	S3
Soon Hyeok HONG	Korea Advanced Institute of Science and Technology (KAIST), Republic of Korea	S9
Sung Woo HONG	Korea Institute of Industrial Technology (KITECH), Republic of Korea	S9
Suksun HORPIBULSUK	National Science and Technology Development Agency (NSTDA), Thailand	IDS5
Robert HOYE	University of Oxford, UK	S5
Atsushi HOZUMI	National Institute of Advanced Industrial Science and Technology, Japan	S4
Yu-I HSU	Osaka University, Japan	S9
Hye Rim HWANG	Ewha Womans University, Republic of Korea	S4
Sung Yeon HWANG	Kyung Hee University, Republic of Korea	S9
Yoon-Ho HWANG	Pukyong National University, Republic of Korea	IDS2
Sung Gap IM	Korea Advanced Institute of Science and Technology (KAIST), Republic of Korea	S8
Hye-Young JANG	Ajou University, Republic of Korea	S1
