code	title	idx	program_url
PL	Plenary Lectures	34	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=34
S1	Polymer Synthesis	1	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=1
S2	High-End Characterization/Polymer Physics/Properties	2	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=2
S3	Processing / Fabrications (Emerging Horizons in Polymer Processing and Fabrication)	3	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=3
S4	Colloids, Interfaces, and Molecular Assemblies for Functional Soft Materials	4	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=4
S5	Polymers for Electronics and Photonics	5	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=5
S6	Emerging Polymer and Hybrid Materials for Advanced Energy Storage and Conversion	6	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=6
S7	Innovations in Polymeric Composites: From Design and Processing to Industrial Applications	7	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=7
S8	Frontiers of Functional Polymers in Biology and Medicine	8	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=8
S9	Polymer Technology for Sustainability	9	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=9
S10	AI-assisted Design and Simulation of Polymers	10	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=10
S11	PMSE-PSK50 Anniversary Symposium: Advancing Polymer Science for a Sustainable and Intelligent Future	19	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=19
S12	Women in Renewable Energy and Sustainability (WiRES) 2026	20	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=20
S13	Korea-Germany Polymer Symposium 2026	21	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=21
S14	The 2nd PSK / CCS-PD Joint Symposium on Frontiers in Polymer Science and Engineering	29	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=29
GS1	Graduate Student Oral Session I: Colloidal and Interfacial Polymer Science	23	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=23
GS2	Graduate Student Oral Session II: Functional Biomaterials and Cosmetic Polymer Engineering	25	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=25
GS3	Graduate Student Oral Session III: Polymer Synthesis, Structure, Properties, and Processing	24	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=24
GS4	Graduate Student Oral Session IV: Polymers for Electronics, Photonics, and Energy	26	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=26
GS5	Graduate Student Oral Session V: Sustainable Polymers and Circular Materials	27	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=27
DCS	D.R.E.A.M Career Mentoring-Networking Session	28	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=28
IDS1	KRICT 50th Anniversary session, Present and Future of Chemical Materials Research	30	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=30
IDS2	Frontiers in Cosmetic Science and Technology (Sponsored by COSMAX)	31	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=31
IDS3	Photoresist: 50 Years of Innovation and the Next 50 Years (Sponsored by DONGJIN SEMICHEM)	32	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=32
IDS4	Advanced Battery Materials and Interface Engineering for Next-Generation Batteries (Sponsored by EcoPro BM)	33	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=33
IDS5	Frontiers in Advanced Polymeric Materials (Sponsored by Toray Science Foundation)	35	https://polymer.or.kr/conferenceintl/default/program/program_list.php?idx=35
