pid,abstract_no,coauthors,abstract
1597,PLPL-1460,,"The issue of plastic waste is emergent, and many strategies have been proposed to address this critical issue for our planet.  We focused attention on the concept of supramolecular polymers, which I have tightly committed from the beginning [1–12].  At the end of November 2024, we reported supramolecular plastics [13, 14], as a strategic extension of the concept of supramolecular polymers using salt-bridge-forming ionic monomer pairs.  This new class of polymeric materials disassembles into monomers when exposed to salts in the natural environment and is then metabolized by microorganisms.  Unlike conventional plastics, supramolecular plastics do not generate microplastics.  Despite their eco-friendly characteristics, these plastic materials possess mechanical properties that are comparable or even better than those of conventional plastics.  Quite recently, we developed an ultrathin low-density artificial luffa sponge from resorcinol and formaldehyde in electric bilayer [15]. References [1] Aida, Meijer, Stupp, Science 2012 , 335, 813–817. [2] Aida, Meijer, Israel J. Chem. 2020 , 60, 33–47. [3] Aida, Adv. Matter. Essay, 2020 , 1908140. [4] Meijer, Aida et al., Prog. Polym. Sci. 2020 , 101250 . [5] Aida et al. Chem. Commun. 1988 , 391–393. [6] Yanagisawa, Aida et al., Science 2018 , 359, 72–76. [7] Yamagishi, Aida et al., Science 2018 , 361, 1242–1246. [8] Yano, Aida et al., Science 2019 , 363, 161–165. [9] Fujisawa, Aida et al., J. Am. Chem. Soc. 2021 , 143, 15279–15285. [10] Meng, Aida, Sato et al., Nature 2021 , 598, 298–303 . [11] Chen, Aida et al., Nature Mat. 2022 , 21, 253–261. [12] Itoh, Chen, Aoki, Aida et al., Science 2022 , 367, 738–743. [13] Cheng, Hirano, Meijer, Aida et al., Science 2024 , 386, 875–881. [14] Chen, Hong, Inuzuka, Mizukami, J. Am. Chem. Soc. 2025 , 147, 44507–44514. [1 5] Hao, Aida et al., Nature 2024 , 636, 92–99. [15] Itoh, Aida et al., Science 2025 , 389, 73–77."
1854,PLPL-1658,,"The discovery of electrical conductivity in doped polyacetylene in 1977 by Hideki Shirakawa, Alan J. Heeger, and Alan G. MacDiarmid established conjugated polymers as a new class of electronic materials and fundamentally changed the perception that polymers must be electrical insulators. This seminal work, recognized by the 2000 Nobel Prize in Chemistry, initiated a field that has evolved from understanding charge transport in highly doped polymers to the molecular engineering of semiconducting polymers for emerging electronic and optoelectronic technologies. Over the past five decades, conjugated polymers have progressed through several transformative stages. Early research focused on controlling doping, conductivity, and charge transport in materials such as polyacetylene, polyaniline, polypyrrole, polyphenylene vinylene, and polythiophene. The development of more chemically stable and processable conjugated polymers subsequently enabled solution-based fabrication of thin films and devices. Conjugated polymers can be synthesized to have band gaps from the UV to the near infrared regions of the electromagnetic spectrum. Conjugated polymers are attractive due to their unique properties: light weight, mechanical flexibility, low cost, low-temperature processing, and simple fabrication methods such as roll-to-roll coating, spray coating or ink-jet printing into desired size and shape. This evolution led to semiconducting polymers with tunable bandgaps, energy levels, solubility, molecular packing, and charge transport for lightweight, flexible, and solution-processable organic light-emitting diodes (OLEDs), organic field-effect and electrochemical transistors (OFETs and OECTs), thermoelectrics, organic photovoltaics (OPVs), organic photodetectors (OPDs), and bioelectronics. In this talk, I will discuss the molecular design, processing, and fundamental understanding of water-soluble conjugated polymers ( aka. conjugated polyelectrolytes, CPEs ) with particular emphasis on establishing the relationship between structure-property-performance relationships. CPEs have attracted attention for their ability to combine the optoelectronic properties of conjugated polymers with the ionic conductivity and aqueous solubility of polyelectrolytes. These materials offer significant sustainable processing advantages, as the presence of hydrophilic side groups imparts solubility in environmentally benign solvents like water and alcohols, enabling straightforward fabrication and compatibility with multilayer device architectures. CPEs have been used as charge transporting layers in OLEDs, OFETs, OPVs, and OPDs and as active materials in OECTs.  In these devices, performance emerges from the interplay between molecular design, intermolecular interactions, film formation, nanoscale organization, interfaces, and the dynamics of charge injection, transport, or extraction. Specifically, I will discuss the development of CPEs and how chemical structures (conjugated backbone, ionic group, counter ion, and molecular weight) and processing protocols can be used to tune the optical, electronic and ionic charge transport, mechanical property and performance in OECTs, biosensors, organic photodetectors, and 3D printing. A combination of characterization methods such as solid state Nuclear Magnetic Resonance (NMR), GIWAXS, AFM, photoconductive AFM, X-ray photoelectron spectroscopy (XPS), and impedance spectroscopy are employed to gain insight into the material properties and device performance."
1383,PLPL-1253,,"Depolymerization usually refers to the reverse process of polymerization. On the one hand, we need to develop new methods of depolymerization for commercial polymers, and on the other hand, we need to develop new types of de-polymerizable polymers. These two approaches are very helpful for development of circular polymer economy. In this talk, I will briefly introduce the history of depolymerization and the difference between depolymerization and degradation. Then I will focus on ways to fabricate de-polymerizable polymers. (1) To fabricate de-polymerizable polymers on the basis of reversible and dynamic amidation between maleic anhydride and secondary amine is dynamic reversible. (2) To invent new radical-mediated click-clip reactions for fabrication of dynamic recyclable polymers."
1804,PLPL-1631,,"The rapid evolution of rechargeable battery technology requires not only breakthroughs in electrochemical materials but also continuous innovation in polymer science. As batteries become safer, higher in energy density, and more reliable, polymers are evolving from passive supporting materials into multifunctional components that dictate battery performance, safety, and manufacturability. This keynote highlights the pivotal role of advanced polymer materials in diverse battery applications and aims at promoting more proactive engagement of the Polymer Society in developing enabling materials for next-generation battery technologies. First, the presentation will discuss recent advances in emerging polymer binders for high-capacity silicon anodes, where molecular design strategies improve mechanical integrity, accommodate severe volume expansion, and stabilize silicon-electrolyte interphases for long-term cycling. Functional polymer coatings for separators and polymeric interfacial engineering for active materials, let alone shrinkage-free separators will also be introduced as key technologies to enhance the electrochemical stability, thermal resistance, and high-voltage performance. Furthermore, high-performance polymer materials for battery modules and packs, such as structural adhesives, electrical insulation materials, flame-retardant coatings, and high-strength protective coatings, will be presented as essential elements for improving the battery safety, durability, and system reliability. Looking beyond conventional lithium-ion batteries, the lecture will also address the growing importance of polymer materials in next generation batteries. Solid polymer electrolytes, gel polymer electrolytes, and polymer-ceramic composite electrolytes offer promising solutions to further improve the safety while enabling lithium-metal batteries with higher energy density. Advances in polymer molecular design and interface/interphase engineering are expected to play a central role in overcoming challenges related to ionic conductivity and interfacial stability. Finally, the presentation will emphasize the importance of sustainable polymer technologies, including water-based processing, environmentally friendly binder systems, recyclable polymer platforms, and low-carbon manufacturing processes. By integrating academic insights with industrial R&D experience, this keynote will demonstrate that polymer science is becoming a key enabling technology across the entire battery value chain, from molecular interface/interphase design to cell, module, and pack engineering. Continuous innovation in advanced polymer materials will accelerate the commercialization of safer, longer-lasting, higher-energy, and more sustainable batteries, supporting the global transition toward an electrified and carbon-neutral future."
1866,PLPL-1664,,"Polymer and supramolecular chemistry offer powerful strategies to create functional structures directly within living cells and to modulate cellular processes with molecular precision. In this lecture, I will discuss our recent work on bioresponsive peptide nanomaterials whose assembly and activity can be controlled by light, redox signals, enzymes, or metabolites. These molecularly programmed transformations enable intracellular self-assembly, catalytic activity, and the selective modulation of cellular processes, including mitochondrial metabolism and immune function. Complementary to these synthetic approaches, we exploit the unique quantum properties of fluorescent nanodiamonds to probe radical chemistry in single living cells with high spatial and temporal resolution. Most recently, we have developed a bottom-up route from molecularly defined nanographenes to ultrasmall nanodiamonds, opening new opportunities to combine molecular precision with quantum sensing. Together, these studies illustrate how molecular design can bridge synthetic and living matter—from constructing dynamic nanostructures inside cells to probing their chemical environment and, ultimately, controlling cellular states and functions. Figure 1. Bioresponsive caged peptide monomers enter living cells and undergo chemical transformations initiated by light and form supramolecular peptide nanofibers that can control cellular states and processes (Y. Ren et al. Nature Synthesis 2025)."
223,KES1-0142,,"Nanoparticles are widely explored for drug delivery and have entered the market, such as in mRNA vaccines. However, many challenges remain, such as the difficulty of targeting specific sites, despite the concept of targeted delivery being widely promoted. One reason is the formation of a protein corona that covers the surface of the carefully engineered nanoparticles. In our work, we try to combat this by reducing nanoparticle size to limit protein attachment. These nanoparticles need to be larger than 5 nm to avoid renal clearance, but ideally below 10 nm. This will be achieved using sing-chain nanoparticles. The underlying polymer structure can incorporate a wide range of functionalities, such as drug molecules and targeting ligands, but the key to successful drug delivery lies in balancing these functionalities and the monomer sequence. Among different systems, we focus on polymers with pendant sugar groups, so-called glycopolymers. While single-chain nanoparticles based on glycopolymers already display good targeting of GLUT transporters, which are overexpressed on many cell lines, polymer structures that resemble tadpoles were found to be superior."
1633,INS1-1496,,"Reversible-deactivation radical polymerization (RDRP) methods such as atom transfer radical polymerization (ATRP), reversible addition-fragmentation chain-transfer (RAFT) polymerization, and nitroxide-mediated polymerization (NMP) produce polymers with narrow molecular weight distributions (MWD) and controlled architectures. Dead chains still form through radical termination and chain-end degradation, however, and neither size-exclusion chromatography (SEC) nor NMR can physically separate them from the living chains. We have developed liquid chromatography methods that separate polymer chains by their end groups, so that the living chains in an RDRP product can be isolated and quantified at the molecular level. In our first study, the bromine ω-end group of ATRP-grown polystyrene was converted to a polar end group by azidation and a CuAAC click reaction. HPLC on a bare silica column then fully resolved the living chains from the dead chains, and the isolated living fraction showed a Poisson-type MWD, the theoretical limit of an ideal living polymerization. The same approach was later applied to polystyrenes prepared by RAFT and NMP, and to living polyacrylates through dihydroxyl chain-end functionalization. This talk covers our recent extension of the method from homopolymers to acrylate block copolymers. In poly(benzyl acrylate)- b -poly( tert -butyl acrylate) synthesized by ARGET ATRP, a dihydroxyl tag was attached to the ω-chain end of the living chains by a mild, catalyst-free thio-bromo click reaction with thioglycerol, and the tagged chains were isolated on bare silica. In visible-light photoiniferter RAFT polymerization, the α,ω-dihydroxyl trithiocarbonate that acts as the photoiniferter also provides the chromatographic handle. Solvent-gradient HPLC separated the RAFT agent-derived living chains, which made up about 96% of all chains even after one-pot block copolymerization, and the isolation raised the chain-end fidelity from 95% to above 99%. In both systems, MALDI-TOF MS of the isolated living fractions gave Poisson-type distributions (Đ = 1.02-1.03, close to the theoretical 1 + 1/DP). This is direct molecular-level evidence that block copolymers grown by these methods contain a nearly ideal living population. Chain-end-selective HPLC therefore works both as a quantitative analytical tool for living and dead chains and as a preparative route to block copolymers free of dead-chain impurities."
1719,KES1-1578,,"The development of alternative transportation modes such as electric vehicles has become a key need for a sustainable long term development. Among the various energy storage technologies, lithium-metal polymer batteries (LMPBs) are among the most attractive. Unfortunately, the use of lithium metal in combination with liquid electrolytes is the source of safety problems due to a possible irregular metallic lithium electrodeposits during charging. To address this issue, solid polymer electrolytes (SPE) have been developed. However, their development has been hampered by two major challenges i/ the inability to design a SPE that exhibits both a high ionic conductivity and good mechanical properties and ii/ during battery operation, lithium ions carry only a small fraction of the total ionic current favouring dendritic growth and limiting energy density. To overcome these drawbacks, in this communication we will present our latest results on the synthesis as well as their in-depth characterization of SPEs designed for LMPB, focusing on block copolymer electrolytes and composite polymer electrolytes."
451,INS1-0367,,"Thermoplastic polyurethanes (TPUs) derive their unique mechanical properties from the combination of flexible soft segments and physically associated hard domains. Despite their broad utility, the design of TPU soft segments has been largely confined to conventional polyether, polyester, and polycarbonate polyols. Here, we present α,ω-hydroxyl end-functionalized polyacrylates as a versatile new family of soft segments for functional TPU elastomers. Defect-minimized telechelic polyacrylates were prepared by visible-light-driven photoiniferter polymerization and incorporated into TPU architectures through conventional polyurethane chemistry. The resulting materials combine high toughness, robust elasticity, and efficient self-healing, demonstrating that polyacrylate soft segments can provide functions that are difficult to access using traditional TPU platforms. Furthermore, photo-crosslinkable acrylate units were introduced to realize photopatternable TPU elastomers without sacrificing elastomeric performance. These results establish telechelic polyacrylates as a powerful platform for expanding TPU molecular design and developing next-generation functional elastomers."
1263,INS1-1150,,"Mechanochemistry has emerged as a powerful and indispensable paradigm in synthetic chemistry. In the field of polymer science, its application has rapidly evolved beyond conventional chain degradation, firmly establishing its viability in fundamental polymerization pathways including radical, ionic, and coordination polymerizations. Moving forward from merely translating established solution-phase reactions to the solid state, mechanochemistry now paves the way toward the architectural design of ""new-to-the-world"" polymers via completely innovative processes. Over the past decade, our research group has intensely focused on mechanochemical polymer synthesis. Through these endeavors, we have demonstrated that solid-state polymerization can effectively transcend the critical limitations of solution-phase chemistry, particularly when confronting severe challenges related to solubility and monomer miscibility. In this presentation, we introduce our recent fundamental investigations tracing the blending and mass-transport phenomena of distinct chemical species within a ball mill. Building upon these insights, we demonstrate unprecedented polymerization cases utilizing monomer combinations that defy traditional thermodynamic mixing rules. Ultimately, this work highlights that mechanochemical synthesis is not just an alternative protocol, but a pivotal vehicle that significantly expands the boundaries and capabilities of modern polymer chemistry."
1170,INS1-1062,,"Ionic polymerizations are a powerful platform for the synthesis of well-defined polymeric materials; however, their widespread adoption is limited by stringent reaction conditions, including sensitivity to air and moisture, the use of highly reactive reagents, and the need for low-temperature operation. Developing more practical, user-friendly approaches to ionic polymerizations remains a significant challenge. In this presentation, we present two complementary strategies that expand the operational scope, safety, and accessibility of ionic polymerizations. First, we developed a reversible deactivation cationic polymerization of vinyl ethers that can be run open to the air without monomer purification. This new method enables the synthesis of new sustainable thermoplastics and thermosets from renewable resources. Second, we demonstrate a CO₂-mediated anionic polymerization in which reversible addition of CO₂ to the enolate chain end tempers its reactivity, enabling controlled polymerization at elevated temperatures using an easily handled solid initiator. This approach provides excellent molecular weight control and narrow molar mass distributions while improving scalability and operational simplicity. Additionally, we introduce an anionic reversible addition–fragmentation chain-transfer (RAFT) polymerization that reduces the required loading of an organolithium initiator. Using a chain-transfer agent, reversible aldol reactions with propagating enolate chain ends enable dynamic chain transfer and control over polymer growth. This method affords well-defined polymers with isolable aldehyde chain ends that can be reinitiated to form block copolymers."
162,INS1-0081,,"Polymer optics have transformed visible-light technologies; however, their broader use in infrared photonics remains limited by low refractive index, vibrational absorption, and insufficient thermal stability.  We have pioneered polymer-forming reactions based on elemental sulfur (S₈) and sulfur monochloride (S₂Cl₂) that afford a new class of high refractive index plastic glass and processable photopolymer systems. Inverse vulcanization of S₈ enables sulfur-rich polymer glasses with refractive indices up to n ≈ 1.8–1.9, elevated glass transition temperatures (>100 °C), and broadband infrared transparency suitable for bulk optical components. In parallel, S₂Cl₂-based polymerizations provide access to prepolymer resins and photopolymer networks with improved control over architecture, enabling fabrication of structured optical materials through casting, molding, and photolithography. Together, these complementary approaches define a continuum of materials spanning bulk glass-like optics to manufacturable photonic structures. We demonstrate fabrication of lenses and diffractive elements and evaluate system-level optical performance in infrared imaging. These results establish sulfur-derived polymer chemistry as a versatile foundation for next-generation plastic optics across multiple length scales and spectral regimes. Here, we present a unified platform for broadband VIS-IR plastic optics derived from elemental sulfur and sulfur-based petrochemicals that overcomes these limitations and extends polymer optics across the visible to infrared spectrum."
