session,idx,pid,type,title,presenter,affiliation,date,start,end,room,chair,url
PL,34,1597,Plenary,Supramolecular Polymerization for a Sustainable Future,Takuzo Aida,RIKEN and The University of Tokyo,2026-09-29,10:00,10:40,Room 205 (Summit Hall),,https://polymer.or.kr/conferenceintl/default/program/presentation_detail.php?pid=1597
PL,34,1854,Plenary,Conjugated Polyelectrolytes for Emerging Technologies,Thuc-Quyen Nguyen,University of California Santa Barbara,2026-09-29,14:00,14:40,Room 205 (Summit Hall),,https://polymer.or.kr/conferenceintl/default/program/presentation_detail.php?pid=1854
PL,34,1383,Plenary,Depolymerization for Recyclable Polymers,Xi Zhang,Tsinghua University,2026-09-30,09:30,10:10,Room 205 (Summit Hall),,https://polymer.or.kr/conferenceintl/default/program/presentation_detail.php?pid=1383
PL,34,1804,Plenary,Accelerating the Battery Revolution with Next-Generation Polymeric Materials,Yong Lak  JOO,Samsung SDI,2026-09-30,14:00,14:40,Room 205 (Summit Hall),,https://polymer.or.kr/conferenceintl/default/program/presentation_detail.php?pid=1804
PL,34,1866,Plenary,Polymer Chemistry in Living Cells: From Molecular Design to Cellular Control,Tanja Weil,Max Planck Institute for Polymer Research,2026-10-01,09:30,10:10,Room 205 (Summit Hall),,https://polymer.or.kr/conferenceintl/default/program/presentation_detail.php?pid=1866
S1,1,223,Keynote,Ultrasmall tadpole-shaped nanoparticles for drug delivery,Martina Stenzel,University of New South Wales,2026-09-29,10:50,11:15,Room 101,Cheoljae KIM,https://polymer.or.kr/conferenceintl/default/program/presentation_detail.php?pid=223
S1,1,1633,Invited,Chromatographic Separation of Living Chains in Reversible-Deactivation Radical Polymerization: From Polystyrene Homopolymers to Acrylate Block Copolymers,Hyun-jong Paik,Pusan National University,2026-09-29,11:15,11:40,Room 101,Cheoljae KIM,https://polymer.or.kr/conferenceintl/default/program/presentation_detail.php?pid=1633
S1,1,1719,Keynote,Solid Polymer Electrolytes for Lithium Metal Battery,Didier Gigmes,Aix-Marseille University - CNRS,2026-09-29,11:40,12:05,Room 101,Cheoljae KIM,https://polymer.or.kr/conferenceintl/default/program/presentation_detail.php?pid=1719
S1,1,451,Invited,Expanding Soft-Segment Chemistry in Thermoplastic Polyurethane Elastomers Using Telechelic Polyacrylates,Min Sang Kwon,Seoul National University,2026-09-29,12:05,12:20,Room 101,Cheoljae KIM,https://polymer.or.kr/conferenceintl/default/program/presentation_detail.php?pid=451
S1,1,1263,Invited,Mechanochemical Polymerization Not Limited By Miscibility,Jeung Gon Kim,Hanyang University,2026-09-29,14:50,15:15,Room 101,Min Sang KWON,https://polymer.or.kr/conferenceintl/default/program/presentation_detail.php?pid=1263
S1,1,1170,Invited,User-Friendly Ionic Polymerizations,Brett Fors,Cornell University,2026-09-29,15:15,15:40,Room 101,Min Sang KWON,https://polymer.or.kr/conferenceintl/default/program/presentation_detail.php?pid=1170
S1,1,162,Invited,Reimagining Plastic Optics with Sulfur-derived Plastic Glass,Jeffrey Pyun,University of Arizona,2026-09-29,15:40,16:05,Room 101,Min Sang KWON,https://polymer.or.kr/conferenceintl/default/program/presentation_detail.php?pid=162
S1,1,283,Oral,Anionic Ring-Opening Polymerization of Oxindole Derivatives with a Cyclopropane Ring,Chihiro Homma,Institute of Science Tokyo,2026-09-29,16:15,16:30,Room 101,Min Sang KWON,https://polymer.or.kr/conferenceintl/default/program/presentation_detail.php?pid=283
